"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.013291,0,0,0,1,0,0,0.5,0.05
-0.013391,-0.0013288,0.018595,0,1,0.01,0.01,0.5,0.05
-0.013492,-0.0026576,0.03719,0,1,0.02,0.02,0.5,0.05
-0.013592,-0.0039864,0.055785,0,1,0.03,0.03,0.5,0.05
-0.013692,-0.0053152,0.074381,0,1,0.04,0.04,0.5,0.05
-0.013792,-0.006644,0.092976,0,1,0.05,0.05,0.5,0.05
-0.014047,-0.0096112,0.10417,0,1,0.06,0.06,0.5,0.05
-0.014302,-0.012578,0.11536,0,1,0.07,0.07,0.5,0.05
-0.014557,-0.015545,0.12656,0,1,0.08,0.08,0.5,0.05
-0.014811,-0.018513,0.13775,0,1,0.09,0.09,0.5,0.05
-0.015066,-0.02148,0.14895,0,1,0.1,0.1,0.5,0.05
-0.015467,-0.025493,0.15526,0,1,0.11,0.11,0.5,0.05
-0.015868,-0.029507,0.16157,0,1,0.12,0.12,0.5,0.05
-0.016269,-0.033521,0.16789,0,1,0.13,0.13,0.5,0.05
-0.016669,-0.037534,0.1742,0,1,0.14,0.14,0.5,0.05
-0.01707,-0.041548,0.18051,0,1,0.15,0.15,0.5,0.05
-0.017693,-0.046035,0.18385,0,1,0.16,0.16,0.5,0.05
-0.018315,-0.050522,0.18718,0,1,0.17,0.17,0.5,0.05
-0.018937,-0.055009,0.19051,0,1,0.18,0.18,0.5,0.05
-0.019559,-0.059496,0.19384,0,1,0.19,0.19,0.5,0.05
-0.020182,-0.063983,0.19717,0,1,0.2,0.2,0.5,0.05
-0.021076,-0.068603,0.19843,0,1,0.21,0.21,0.5,0.05
-0.021969,-0.073224,0.19968,0,1,0.22,0.22,0.5,0.05
-0.022863,-0.077845,0.20094,0,1,0.23,0.23,0.5,0.05
-0.023757,-0.082466,0.20219,0,1,0.24,0.24,0.5,0.05
-0.024651,-0.087087,0.20345,0,1,0.25,0.25,0.5,0.05
-0.025819,-0.091671,0.2028,0,1,0.26,0.26,0.5,0.05
-0.026987,-0.096255,0.20216,0,1,0.27,0.27,0.5,0.05
-0.028155,-0.10084,0.20151,0,1,0.28,0.28,0.5,0.05
-0.029323,-0.10542,0.20087,0,1,0.29,0.29,0.5,0.05
-0.030491,-0.11001,0.20022,0,1,0.3,0.3,0.5,0.05
-0.031888,-0.11444,0.19752,0,1,0.31,0.31,0.5,0.05
-0.033284,-0.11888,0.19481,0,1,0.32,0.32,0.5,0.05
-0.034681,-0.12331,0.1921,0,1,0.33,0.33,0.5,0.05
-0.036078,-0.12774,0.1894,0,1,0.34,0.34,0.5,0.05
-0.037475,-0.13218,0.18669,0,1,0.35,0.35,0.5,0.05
-0.038996,-0.13638,0.18172,0,1,0.36,0.36,0.5,0.05
-0.040518,-0.14058,0.17675,0,1,0.37,0.37,0.5,0.05
-0.042039,-0.14478,0.17179,0,1,0.38,0.38,0.5,0.05
-0.04356,-0.14899,0.16682,0,1,0.39,0.39,0.5,0.05
-0.045082,-0.15319,0.16185,0,1,0.4,0.4,0.5,0.05
-0.046566,-0.15711,0.15454,0,1,0.41,0.41,0.5,0.05
-0.04805,-0.16103,0.14724,0,1,0.42,0.42,0.5,0.05
-0.049535,-0.16495,0.13993,0,1,0.43,0.43,0.5,0.05
-0.051019,-0.16887,0.13262,0,1,0.44,0.44,0.5,0.05
-0.052503,-0.17279,0.12532,0,1,0.45,0.45,0.5,0.05
-0.053747,-0.17642,0.11577,0,1,0.46,0.46,0.5,0.05
-0.05499,-0.18004,0.10622,0,1,0.47,0.47,0.5,0.05
-0.056234,-0.18367,0.096673,0,1,0.48,0.48,0.5,0.05
-0.057477,-0.1873,0.087125,0,1,0.49,0.49,0.5,0.05
-0.058721,-0.19093,0.077577,0,1,0.5,0.5,0.5,0.05
-0.059514,-0.19427,0.066023,0,1,0.51,0.51,0.5,0.05
-0.060306,-0.19761,0.05447,0,1,0.52,0.52,0.5,0.05
-0.061099,-0.20095,0.042917,0,1,0.53,0.53,0.5,0.05
-0.061892,-0.20429,0.031363,0,1,0.54,0.54,0.5,0.05
-0.062685,-0.20764,0.01981,0,1,0.55,0.55,0.5,0.05
-0.062862,-0.21067,0.006582,0,1,0.56,0.56,0.5,0.05
-0.063039,-0.21371,-0.0066459,0,1,0.57,0.57,0.5,0.05
-0.063216,-0.21674,-0.019874,0,1,0.58,0.58,0.5,0.05
