"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.015522,0,0,0,1,0,0,0.5,0.05
-0.015717,-0.00027209,0.025187,0,1,0.01,0.01,0.5,0.05
-0.015972,-0.0010577,0.048194,0,1,0.02,0.02,0.5,0.05
-0.016211,-0.0023266,0.06912,0,1,0.03,0.03,0.5,0.05
-0.016445,-0.0040442,0.088077,0,1,0.04,0.04,0.5,0.05
-0.016679,-0.0061776,0.10518,0,1,0.05,0.05,0.5,0.05
-0.01692,-0.0086939,0.12057,0,1,0.06,0.06,0.5,0.05
-0.017176,-0.01156,0.13435,0,1,0.07,0.07,0.5,0.05
-0.017454,-0.014744,0.14667,0,1,0.08,0.08,0.5,0.05
-0.017759,-0.018214,0.15765,0,1,0.09,0.09,0.5,0.05
-0.018097,-0.021939,0.16741,0,1,0.1,0.1,0.5,0.05
-0.018474,-0.025889,0.17608,0,1,0.11,0.11,0.5,0.05
-0.018895,-0.030037,0.18376,0,1,0.12,0.12,0.5,0.05
-0.019363,-0.034355,0.19056,0,1,0.13,0.13,0.5,0.05
-0.019883,-0.038821,0.19657,0,1,0.14,0.14,0.5,0.05
-0.020458,-0.04341,0.20188,0,1,0.15,0.15,0.5,0.05
-0.02109,-0.048102,0.20654,0,1,0.16,0.16,0.5,0.05
-0.021783,-0.052879,0.21064,0,1,0.17,0.17,0.5,0.05
-0.022539,-0.057723,0.21421,0,1,0.18,0.18,0.5,0.05
-0.023359,-0.06262,0.21729,0,1,0.19,0.19,0.5,0.05
-0.024245,-0.067555,0.21992,0,1,0.2,0.2,0.5,0.05
-0.025197,-0.072516,0.22212,0,1,0.21,0.21,0.5,0.05
-0.026218,-0.077493,0.22389,0,1,0.22,0.22,0.5,0.05
-0.027307,-0.082475,0.22526,0,1,0.23,0.23,0.5,0.05
-0.028464,-0.087453,0.22621,0,1,0.24,0.24,0.5,0.05
-0.02969,-0.09242,0.22676,0,1,0.25,0.25,0.5,0.05
-0.030982,-0.097367,0.22688,0,1,0.26,0.26,0.5,0.05
-0.032341,-0.10229,0.22658,0,1,0.27,0.27,0.5,0.05
-0.033763,-0.10718,0.22584,0,1,0.28,0.28,0.5,0.05
-0.035248,-0.11203,0.22465,0,1,0.29,0.29,0.5,0.05
-0.036791,-0.11683,0.22301,0,1,0.3,0.3,0.5,0.05
-0.03839,-0.12159,0.22089,0,1,0.31,0.31,0.5,0.05
-0.04004,-0.12629,0.21828,0,1,0.32,0.32,0.5,0.05
-0.041737,-0.13094,0.21518,0,1,0.33,0.33,0.5,0.05
-0.043474,-0.13552,0.21157,0,1,0.34,0.34,0.5,0.05
-0.045247,-0.14004,0.20745,0,1,0.35,0.35,0.5,0.05
-0.047049,-0.14448,0.20281,0,1,0.36,0.36,0.5,0.05
-0.048872,-0.14885,0.19764,0,1,0.37,0.37,0.5,0.05
-0.050708,-0.15315,0.19195,0,1,0.38,0.38,0.5,0.05
-0.05255,-0.15737,0.18573,0,1,0.39,0.39,0.5,0.05
-0.054389,-0.16151,0.17899,0,1,0.4,0.4,0.5,0.05
-0.056215,-0.16558,0.17172,0,1,0.41,0.41,0.5,0.05
-0.05802,-0.16956,0.16394,0,1,0.42,0.42,0.5,0.05
-0.059793,-0.17347,0.15566,0,1,0.43,0.43,0.5,0.05
-0.061525,-0.1773,0.14687,0,1,0.44,0.44,0.5,0.05
-0.063206,-0.18105,0.1376,0,1,0.45,0.45,0.5,0.05
-0.064825,-0.18474,0.12785,0,1,0.46,0.46,0.5,0.05
-0.066373,-0.18836,0.11764,0,1,0.47,0.47,0.5,0.05
-0.06784,-0.19191,0.10699,0,1,0.48,0.48,0.5,0.05
-0.069217,-0.1954,0.095904,0,1,0.49,0.49,0.5,0.05
-0.070493,-0.19884,0.084406,0,1,0.5,0.5,0.5,0.05
-0.071661,-0.20222,0.072508,0,1,0.51,0.51,0.5,0.05
-0.07271,-0.20556,0.060227,0,1,0.52,0.52,0.5,0.05
-0.073633,-0.20886,0.047576,0,1,0.53,0.53,0.5,0.05
-0.074422,-0.21213,0.034571,0,1,0.54,0.54,0.5,0.05
-0.075069,-0.21535,0.021224,0,1,0.55,0.55,0.5,0.05
-0.075567,-0.21855,0.0075482,0,1,0.56,0.56,0.5,0.05
-0.075911,-0.22172,-0.0064455,0,1,0.57,0.57,0.5,0.05
-0.076093,-0.22485,-0.020746,0,1,0.58,0.58,0.5,0.05
-0.076108,-0.22795,-0.035344,0,1,0.59,0.59,0.5,0.05
-0.075952,-0.23101,-0.050229,0,1,0.6,0.6,0.5,0.05
-0.07562,-0.23402,-0.065391,0,1,0.61,0.61,0.5,0.05
-0.075107,-0.23697,-0.080819,0,1,0.62,0.62,0.5,0.05
-0.074412,-0.23983,-0.096499,0,1,0.63,0.63,0.5,0.05
-0.073531,-0.24258,-0.11242,0,1,0.64,0.64,0.5,0.05
-0.072463,-0.24519,-0.12855,0,1,0.65,0.65,0.5,0.05
-0.071207,-0.24764,-0.14487,0,1,0.66,0.66,0.5,0.05
-0.069764,-0.24986,-0.16134,0,1,0.67,0.67,0.5,0.05
-0.068134,-0.25182,-0.17792,0,1,0.68,0.68,0.5,0.05
-0.066322,-0.25344,-0.19454,0,1,0.69,0.69,0.5,0.05
-0.064333,-0.25467,-0.21114,0,1,0.7,0.7,0.5,0.05
-0.062174,-0.25542,-0.22763,0,1,0.71,0.71,0.5,0.05
-0.059854,-0.25561,-0.24388,0,1,0.72,0.72,0.5,0.05
-0.057387,-0.25514,-0.25978,0,1,0.73,0.73,0.5,0.05
-0.054788,-0.25393,-0.27516,0,1,0.74,0.74,0.5,0.05
-0.052078,-0.25187,-0.28984,0,1,0.75,0.75,0.5,0.05
-0.04928,-0.24887,-0.30361,0,1,0.76,0.76,0.5,0.05
-0.046422,-0.24482,-0.31625,0,1,0.77,0.77,0.5,0.05
-0.043534,-0.23964,-0.3275,0,1,0.78,0.78,0.5,0.05
-0.040654,-0.23326,-0.33709,0,1,0.79,0.79,0.5,0.05
-0.037818,-0.22563,-0.34475,0,1,0.8,0.8,0.5,0.05
-0.035067,-0.21671,-0.3502,0,1,0.81,0.81,0.5,0.05
-0.032444,-0.20652,-0.35318,0,1,0.82,0.82,0.5,0.05
-0.02999,-0.19508,-0.35344,0,1,0.83,0.83,0.5,0.05
-0.027745,-0.18248,-0.35076,0,1,0.84,0.84,0.5,0.05
-0.025745,-0.16884,-0.34501,0,1,0.85,0.85,0.5,0.05
-0.02402,-0.15431,-0.33607,0,1,0.86,0.86,0.5,0.05
-0.022593,-0.13912,-0.32393,0,1,0.87,0.87,0.5,0.05
-0.021478,-0.12349,-0.30864,0,1,0.88,0.88,0.5,0.05
-0.020682,-0.1077,-0.29036,0,1,0.89,0.89,0.5,0.05
-0.020197,-0.092029,-0.26932,0,1,0.9,0.9,0.5,0.05
-0.02001,-0.076784,-0.24584,0,1,0.91,0.91,0.5,0.05
-0.020097,-0.06226,-0.2203,0,1,0.92,0.92,0.5,0.05
-0.020428,-0.048742,-0.19316,0,1,0.93,0.93,0.5,0.05
-0.020968,-0.036491,-0.1649,0,1,0.94,0.94,0.5,0.05
-0.021677,-0.02574,-0.13604,0,1,0.95,0.95,0.5,0.05
-0.022519,-0.016684,-0.1071,0,1,0.96,0.96,0.5,0.05
-0.023458,-0.0094805,-0.078574,0,1,0.97,0.97,0.5,0.05
-0.02446,-0.0042472,-0.050944,0,1,0.98,0.98,0.5,0.05
-0.025519,-0.0010733,-0.02463,0,1,0.99,0.99,0.5,0.05
-0.026308,0,0,0,1,1,1,0.5,0.05
