"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.904e-05,0,0,0,1,0,0.5,0,0.05
-2.6404e-05,-0.0093397,-8.3198e-06,0,1,0.01,0.5,0.01,0.05
-3.9275e-05,-0.018317,-3.7675e-05,0,1,0.02,0.5,0.02,0.05
-5.6106e-05,-0.026988,-9.2659e-05,0,1,0.03,0.5,0.03,0.05
-7.8058e-05,-0.035405,-0.00017595,0,1,0.04,0.5,0.04,0.05
-0.00010661,-0.043616,-0.00028846,0,1,0.05,0.5,0.05,0.05
-0.00014363,-0.051663,-0.00042932,0,1,0.06,0.5,0.06,0.05
-0.00019137,-0.059586,-0.00059591,0,1,0.07,0.5,0.07,0.05
-0.00025242,-0.067423,-0.00078395,0,1,0.08,0.5,0.08,0.05
-0.00032971,-0.075206,-0.00098755,0,1,0.09,0.5,0.09,0.05
-0.0004265,-0.082964,-0.0011993,0,1,0.1,0.5,0.1,0.05
-0.00054642,-0.090723,-0.0014103,0,1,0.11,0.5,0.11,0.05
-0.00069345,-0.098507,-0.0016103,0,1,0.12,0.5,0.12,0.05
-0.00087195,-0.10633,-0.001788,0,1,0.13,0.5,0.13,0.05
-0.0010867,-0.11421,-0.0019309,0,1,0.14,0.5,0.14,0.05
-0.0013428,-0.12216,-0.0020254,0,1,0.15,0.5,0.15,0.05
-0.0016458,-0.13017,-0.0020575,0,1,0.16,0.5,0.16,0.05
-0.0020017,-0.13826,-0.0020121,0,1,0.17,0.5,0.17,0.05
-0.0024168,-0.1464,-0.0018742,0,1,0.18,0.5,0.18,0.05
-0.0028979,-0.1546,-0.001628,0,1,0.19,0.5,0.19,0.05
-0.0034521,-0.16283,-0.0012583,0,1,0.2,0.5,0.2,0.05
-0.0040867,-0.17106,-0.00074957,0,1,0.21,0.5,0.21,0.05
-0.0048094,-0.17927,-8.7178e-05,0,1,0.22,0.5,0.22,0.05
-0.0056279,-0.18742,0.00074296,0,1,0.23,0.5,0.23,0.05
-0.0065499,-0.19546,0.0017539,0,1,0.24,0.5,0.24,0.05
-0.0075831,-0.20336,0.0029573,0,1,0.25,0.5,0.25,0.05
-0.0087349,-0.21105,0.0043635,0,1,0.26,0.5,0.26,0.05
-0.010012,-0.21848,0.0059807,0,1,0.27,0.5,0.27,0.05
-0.011422,-0.22559,0.0078153,0,1,0.28,0.5,0.28,0.05
-0.012969,-0.23231,0.009871,0,1,0.29,0.5,0.29,0.05
-0.014657,-0.23857,0.012149,0,1,0.3,0.5,0.3,0.05
-0.016491,-0.24432,0.014649,0,1,0.31,0.5,0.31,0.05
-0.018473,-0.24948,0.017366,0,1,0.32,0.5,0.32,0.05
-0.020601,-0.25399,0.020292,0,1,0.33,0.5,0.33,0.05
-0.022875,-0.25779,0.023419,0,1,0.34,0.5,0.34,0.05
-0.025291,-0.26082,0.026733,0,1,0.35,0.5,0.35,0.05
-0.027843,-0.26302,0.030218,0,1,0.36,0.5,0.36,0.05
-0.030524,-0.26437,0.033856,0,1,0.37,0.5,0.37,0.05
-0.033324,-0.26481,0.037627,0,1,0.38,0.5,0.38,0.05
-0.036232,-0.26432,0.041508,0,1,0.39,0.5,0.39,0.05
-0.039232,-0.26289,0.045476,0,1,0.4,0.5,0.4,0.05
-0.042311,-0.2605,0.049504,0,1,0.41,0.5,0.41,0.05
-0.045452,-0.25715,0.053569,0,1,0.42,0.5,0.42,0.05
-0.048635,-0.25285,0.057642,0,1,0.43,0.5,0.43,0.05
-0.051842,-0.24762,0.0617,0,1,0.44,0.5,0.44,0.05
-0.055054,-0.24149,0.065716,0,1,0.45,0.5,0.45,0.05
-0.058251,-0.2345,0.069668,0,1,0.46,0.5,0.46,0.05
-0.061412,-0.22669,0.073532,0,1,0.47,0.5,0.47,0.05
-0.064519,-0.2181,0.077288,0,1,0.48,0.5,0.48,0.05
-0.067552,-0.2088,0.080918,0,1,0.49,0.5,0.49,0.05
-0.070493,-0.19884,0.084406,0,1,0.5,0.5,0.5,0.05
-0.073327,-0.18827,0.087737,0,1,0.51,0.5,0.51,0.05
-0.076038,-0.17717,0.0909,0,1,0.52,0.5,0.52,0.05
-0.078612,-0.16559,0.093886,0,1,0.53,0.5,0.53,0.05
-0.081038,-0.15359,0.096688,0,1,0.54,0.5,0.54,0.05
-0.083304,-0.14124,0.099299,0,1,0.55,0.5,0.55,0.05
-0.085402,-0.12858,0.10172,0,1,0.56,0.5,0.56,0.05
-0.087326,-0.11568,0.10394,0,1,0.57,0.5,0.57,0.05
-0.089069,-0.10258,0.10597,0,1,0.58,0.5,0.58,0.05
-0.090629,-0.08933,0.1078,0,1,0.59,0.5,0.59,0.05
-0.092003,-0.075973,0.10944,0,1,0.6,0.5,0.6,0.05
-0.093191,-0.062548,0.11089,0,1,0.61,0.5,0.61,0.05
-0.094194,-0.04909,0.11215,0,1,0.62,0.5,0.62,0.05
-0.095012,-0.03563,0.11322,0,1,0.63,0.5,0.63,0.05
-0.095651,-0.022197,0.11411,0,1,0.64,0.5,0.64,0.05
-0.096112,-0.0088155,0.11481,0,1,0.65,0.5,0.65,0.05
-0.096402,0.0044934,0.11532,0,1,0.66,0.5,0.66,0.05
-0.096527,0.017711,0.11565,0,1,0.67,0.5,0.67,0.05
-0.096493,0.030821,0.1158,0,1,0.68,0.5,0.68,0.05
-0.096308,0.043812,0.11577,0,1,0.69,0.5,0.69,0.05
-0.095979,0.056672,0.11554,0,1,0.7,0.5,0.7,0.05
-0.095515,0.069394,0.11513,0,1,0.71,0.5,0.71,0.05
-0.094926,0.081974,0.11451,0,1,0.72,0.5,0.72,0.05
-0.094221,0.094413,0.1137,0,1,0.73,0.5,0.73,0.05
-0.093408,0.10672,0.11267,0,1,0.74,0.5,0.74,0.05
-0.0925,0.11889,0.11142,0,1,0.75,0.5,0.75,0.05
-0.091505,0.13097,0.10995,0,1,0.76,0.5,0.76,0.05
-0.090434,0.14297,0.10822,0,1,0.77,0.5,0.77,0.05
-0.089297,0.15494,0.10623,0,1,0.78,0.5,0.78,0.05
-0.088104,0.16695,0.10397,0,1,0.79,0.5,0.79,0.05
-0.086866,0.17911,0.1014,0,1,0.8,0.5,0.8,0.05
-0.08559,0.19152,0.098499,0,1,0.81,0.5,0.81,0.05
-0.084285,0.20438,0.095247,0,1,0.82,0.5,0.82,0.05
-0.08296,0.2179,0.091612,0,1,0.83,0.5,0.83,0.05
-0.081621,0.23237,0.087564,0,1,0.84,0.5,0.84,0.05
-0.080273,0.24816,0.083076,0,1,0.85,0.5,0.85,0.05
-0.078922,0.26572,0.078123,0,1,0.86,0.5,0.86,0.05
-0.077572,0.28561,0.072692,0,1,0.87,0.5,0.87,0.05
-0.076226,0.30846,0.066782,0,1,0.88,0.5,0.88,0.05
-0.074885,0.33499,0.060412,0,1,0.89,0.5,0.89,0.05
-0.073553,0.36599,0.053629,0,1,0.9,0.5,0.9,0.05
-0.072232,0.40226,0.046513,0,1,0.91,0.5,0.91,0.05
