"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.2818e-05,0,0,0,1,0,0.5,0,0.05
-9.4695e-05,-0.0077501,-3.7873e-06,0,1,0.01,0.5,0.01,0.05
-0.00010657,-0.0155,-7.5746e-06,0,1,0.02,0.5,0.02,0.05
-0.00011845,-0.02325,-1.1362e-05,0,1,0.03,0.5,0.03,0.05
-0.00013033,-0.031,-1.5149e-05,0,1,0.04,0.5,0.04,0.05
-0.0001422,-0.03875,-1.8936e-05,0,1,0.05,0.5,0.05,0.05
-0.00019307,-0.045803,-0.00011598,0,1,0.06,0.5,0.06,0.05
-0.00024394,-0.052856,-0.00021302,0,1,0.07,0.5,0.07,0.05
-0.00029481,-0.059909,-0.00031006,0,1,0.08,0.5,0.08,0.05
-0.00034568,-0.066962,-0.0004071,0,1,0.09,0.5,0.09,0.05
-0.00039654,-0.074014,-0.00050413,0,1,0.1,0.5,0.1,0.05
-0.00053833,-0.081001,-0.00059505,0,1,0.11,0.5,0.11,0.05
-0.00068011,-0.087988,-0.00068597,0,1,0.12,0.5,0.12,0.05
-0.0008219,-0.094975,-0.00077689,0,1,0.13,0.5,0.13,0.05
-0.00096368,-0.10196,-0.00086781,0,1,0.14,0.5,0.14,0.05
-0.0011055,-0.10895,-0.00095873,0,1,0.15,0.5,0.15,0.05
-0.0014306,-0.11617,-0.00080571,0,1,0.16,0.5,0.16,0.05
-0.0017557,-0.12338,-0.00065268,0,1,0.17,0.5,0.17,0.05
-0.0020808,-0.1306,-0.00049966,0,1,0.18,0.5,0.18,0.05
-0.0024059,-0.13781,-0.00034664,0,1,0.19,0.5,0.19,0.05
-0.0027311,-0.14503,-0.00019362,0,1,0.2,0.5,0.2,0.05
-0.0033699,-0.15226,0.00050134,0,1,0.21,0.5,0.21,0.05
-0.0040088,-0.15949,0.0011963,0,1,0.22,0.5,0.22,0.05
-0.0046477,-0.16672,0.0018913,0,1,0.23,0.5,0.23,0.05
-0.0052865,-0.17395,0.0025862,0,1,0.24,0.5,0.24,0.05
-0.0059254,-0.18118,0.0032812,0,1,0.25,0.5,0.25,0.05
-0.007032,-0.18763,0.004786,0,1,0.26,0.5,0.26,0.05
-0.0081387,-0.19409,0.0062908,0,1,0.27,0.5,0.27,0.05
-0.0092453,-0.20054,0.0077956,0,1,0.28,0.5,0.28,0.05
-0.010352,-0.207,0.0093004,0,1,0.29,0.5,0.29,0.05
-0.011459,-0.21345,0.010805,0,1,0.3,0.5,0.3,0.05
-0.013157,-0.21789,0.013255,0,1,0.31,0.5,0.31,0.05
-0.014856,-0.22233,0.015704,0,1,0.32,0.5,0.32,0.05
-0.016554,-0.22677,0.018154,0,1,0.33,0.5,0.33,0.05
-0.018253,-0.23121,0.020604,0,1,0.34,0.5,0.34,0.05
-0.019951,-0.23565,0.023053,0,1,0.35,0.5,0.35,0.05
-0.022247,-0.23677,0.026357,0,1,0.36,0.5,0.36,0.05
-0.024543,-0.2379,0.029662,0,1,0.37,0.5,0.37,0.05
-0.026839,-0.23902,0.032966,0,1,0.38,0.5,0.38,0.05
-0.029135,-0.24014,0.03627,0,1,0.39,0.5,0.39,0.05
-0.031431,-0.24126,0.039574,0,1,0.4,0.5,0.4,0.05
-0.034137,-0.23826,0.043385,0,1,0.41,0.5,0.41,0.05
-0.036843,-0.23525,0.047195,0,1,0.42,0.5,0.42,0.05
-0.039549,-0.23225,0.051006,0,1,0.43,0.5,0.43,0.05
-0.042255,-0.22924,0.054817,0,1,0.44,0.5,0.44,0.05
-0.044961,-0.22623,0.058627,0,1,0.45,0.5,0.45,0.05
-0.047713,-0.21917,0.062417,0,1,0.46,0.5,0.46,0.05
-0.050465,-0.21211,0.066207,0,1,0.47,0.5,0.47,0.05
-0.053217,-0.20505,0.069997,0,1,0.48,0.5,0.48,0.05
-0.055969,-0.19799,0.073787,0,1,0.49,0.5,0.49,0.05
-0.058721,-0.19093,0.077577,0,1,0.5,0.5,0.5,0.05
-0.061102,-0.18073,0.080821,0,1,0.51,0.5,0.51,0.05
-0.063482,-0.17053,0.084064,0,1,0.52,0.5,0.52,0.05
-0.065863,-0.16033,0.087308,0,1,0.53,0.5,0.53,0.05
-0.068244,-0.15014,0.090552,0,1,0.54,0.5,0.54,0.05
-0.070624,-0.13994,0.093796,0,1,0.55,0.5,0.55,0.05
-0.07232,-0.12792,0.096158,0,1,0.56,0.5,0.56,0.05
-0.074016,-0.11591,0.09852,0,1,0.57,0.5,0.57,0.05
-0.075711,-0.1039,0.10088,0,1,0.58,0.5,0.58,0.05
-0.077407,-0.091881,0.10324,0,1,0.59,0.5,0.59,0.05
